pair_id,adr_ticker,underlying_ticker,status,n_days,adr_zero_return_pct,loc_zero_return_pct,adr_max_stale_run_days,loc_max_stale_run_days,zero_return_spread_fraction,flagged,flag_reason
69082P__15253D,69082P,15253D,ok,699,0.0129,0.0143,1,1,0.0206,False,
69136D__30815F,69136D,30815F,ok,1079,0.0056,0.0083,2,1,0.0162,False,
69239X__53677N,69239X,53677N,ok,1281,0.0352,0.0805,3,3,0.0907,False,
69311L__912087,69311L,912087,ok,3541,0.0153,0.0195,1,3,0.0271,False,
69368T__68341V,69368T,68341V,ok,3586,0.0059,0.0312,2,3,0.0347,False,
69438E__133241,69438E,133241,ok,888,0.0304,0.0665,2,2,0.0861,False,
696046__147535,696046,147535,ok,3586,0.0134,0.0011,2,1,0.0056,False,
69765D__69009K,69765D,69009K,ok,620,0.0048,0.0178,1,1,0.0177,False,
69842X__912887,69842X,912887,ok,719,0.0097,0.071,2,2,0.0652,False,
699504__675905,699504,675905,ok,3569,0.0255,0.0717,2,3,0.0778,False,
7018KV__68923Q,7018KV,68923Q,ok,1297,0.0147,0.0077,2,1,0.0153,False,
7086Q0__503359,7086Q0,503359,ok,1163,0.0112,0.0275,1,1,0.0279,False,
72418E__951404,72418E,951404,ok,1119,0.0376,0.1118,1,6,0.1,True,['loc_stale_run>5']
73097V__912082,73097V,912082,ok,982,0.0163,0.0133,2,1,0.0191,False,
74116U__30185X,74116U,30185X,ok,2080,0.013,0.0404,1,2,0.0417,False,
74690H__691121,74690H,691121,ok,515,0.0506,0.1965,2,5,0.2081,False,
75457N__280063,75457N,280063,ok,915,0.0153,0.0339,1,2,0.0289,False,
755020__929593,755020,929593,ok,3591,0.0407,0.0429,2,3,0.0602,False,
759739__922362,759739,922362,ok,3541,0.0192,0.0119,3,1,0.0302,False,
75986N__75858Q,75986N,75858Q,ok,3669,0.033,0.0453,3,2,0.0591,False,
7720N6__7580XN,7720N6,7580XN,ok,1050,0.0086,0.1106,1,5,0.062,False,
7731LX__314060,7731LX,314060,ok,1466,0.0137,0.0198,1,2,0.0235,False,
77532N__51286J,77532N,51286J,ok,644,0.0513,0.3468,2,9,0.2895,True,['loc_stale_run>5']
777026__93118V,777026,93118V,ok,1711,0.0211,0.045,2,2,0.0516,False,
86539L__930842,86539L,930842,ok,1619,0.0155,0.0371,1,4,0.0373,False,
86615F__410120,86615F,410120,ok,1440,0.0139,0.0069,2,1,0.0218,False,
86662M__982750,86662M,982750,ok,890,0.0191,0.0169,2,1,0.0401,False,
86729P__50700L,86729P,50700L,ok,818,0.0245,0.1004,1,4,0.1193,False,
86734L__32361L,86734L,32361L,ok,1109,0.0072,0.0244,1,1,0.0242,False,
8674W2__8745RP,8674W2,8745RP,ok,1078,0.0474,0.0251,2,2,0.0527,False,
86965N__932147,86965N,932147,ok,1433,0.0063,0.0105,2,1,0.0175,False,
86981X__725535,86981X,725535,ok,3217,0.0149,0.0081,2,1,0.0148,False,
8705KG__29386L,8705KG,29386L,ok,1457,0.0591,0.1202,3,7,0.026,True,['loc_stale_run>5']
8711AE__30877L,8711AE,30877L,ok,889,0.0315,0.009,2,2,0.0174,False,
87137P__317614,87137P,317614,ok,1060,0.0453,0.0359,2,2,0.0688,False,
87241F__540515,87241F,540515,ok,2385,0.0155,0.0092,2,2,0.0199,False,
87275J__77933E,87275J,77933E,ok,1420,0.0078,0.0204,1,1,0.0271,False,
873621__930111,873621,930111,ok,1418,0.0395,0.0374,5,3,0.0427,False,
87417L__86521D,87417L,86521D,ok,2231,0.017,0.0439,2,2,0.0475,False,
8743CF__91291J,8743CF,91291J,ok,863,0.0197,0.065,2,2,0.0692,False,
87487H__77380U,87487H,77380U,ok,1116,0.0143,0.0422,1,2,0.0411,False,
8748D0__887921,8748D0,887921,ok,1414,0.0071,0.0163,1,2,0.0172,False,
8751Q5__951907,8751Q5,951907,ok,1756,0.0057,0.0057,1,1,0.0072,False,
87527P__691252,87527P,691252,ok,1661,0.0163,0.0807,1,4,0.0949,False,
87734F__932076,87734F,932076,ok,2699,0.0056,0.0185,1,2,0.0232,False,
8785V9__50631X,8785V9,50631X,ok,1832,0.0005,0.0098,1,1,0.0101,False,
88146X__75975N,88146X,75975N,ok,1098,0.0128,0.0356,2,2,0.0404,False,
891264__771566,891264,771566,ok,2256,0.0266,0.0248,4,2,0.0476,False,
8933RL__8917F2,8933RL,8917F2,ok,949,0.0158,0.0422,3,3,0.052,False,
89661R__41345R,89661R,41345R,ok,2934,0.0068,0.0194,2,2,0.0183,False,
905168__922020,905168,922020,ok,3540,0.0025,0.0119,1,2,0.0084,False,
90534M__88801L,90534M,88801L,ok,2937,0.0119,0.03,2,2,0.038,False,
9062GG__916571,9062GG,916571,ok,700,0.0043,0.0157,1,1,0.018,False,
906640__906433,906640,906433,ok,3541,0.0082,0.0048,1,1,0.0114,False,
9103NM__9091D9,9103NM,9091D9,ok,1736,0.0184,0.0063,2,1,0.0168,False,
91091C__140619,91091C,140619,ok,2728,0.0275,0.0099,2,1,0.0267,False,
9112YH__362017,9112YH,362017,ok,1170,0.0111,0.0145,1,2,0.0189,False,
